experiment,task_id,goal,success,reward,steps,time,error
alfworld_router,1,,True,1.0,4,3.3,
alfworld_router,2,,True,1.0,5,3.9,
alfworld_router,3,,True,1.0,4,3.2,
alfworld_router,4,,True,1.0,5,4.0,
alfworld_router,5,,True,1.0,4,3.3,
alfworld_router,6,,True,1.0,5,3.7,
alfworld_router,7,,True,1.0,5,4.3,
alfworld_router,8,,True,1.0,9,7.6,
alfworld_router,9,,True,1.0,4,3.0,
alfworld_router,10,,True,1.0,6,4.4,
alfworld_router,11,,True,1.0,5,5.0,
alfworld_router,12,,True,1.0,6,4.6,
alfworld_router,13,,True,1.0,4,3.0,
alfworld_router,14,,True,1.0,4,3.4,
alfworld_router,15,,True,1.0,6,4.6,
alfworld_router,16,,True,1.0,5,3.7,
alfworld_router,17,,True,1.0,6,4.4,
alfworld_router,18,,True,1.0,10,8.2,
alfworld_router,19,,True,1.0,5,3.7,
alfworld_router,20,,True,1.0,5,4.1,
alfworld_router,21,,True,1.0,6,4.8,
alfworld_router,22,,True,1.0,6,4.7,
alfworld_router,23,,True,1.0,5,4.1,
alfworld_router,24,,True,1.0,8,6.6,
alfworld_router,25,,True,1.0,5,3.5,
alfworld_router,26,,True,1.0,8,6.8,
alfworld_router,27,,True,1.0,10,8.3,
alfworld_router,28,,True,1.0,12,10.0,
alfworld_router,29,,True,1.0,9,7.6,
alfworld_router,30,,True,1.0,11,9.1,
alfworld_router,31,,True,1.0,5,3.9,
alfworld_router,32,,True,1.0,3,2.5,
alfworld_router,33,,True,1.0,4,3.3,
alfworld_router,34,,True,1.0,3,2.5,
alfworld_router,35,,True,1.0,2,1.7,
alfworld_router,36,,True,1.0,3,2.4,
