experiment,task_id,goal,success,reward,steps,time,error
alfworld_react,1,,True,1.0,4,4.2,
alfworld_react,2,,True,1.0,5,4.5,
alfworld_react,3,,True,1.0,4,3.9,
alfworld_react,4,,True,1.0,5,5.0,
alfworld_react,5,,True,1.0,4,3.8,
alfworld_react,6,,True,1.0,5,5.6,
alfworld_react,7,,True,1.0,5,4.3,
alfworld_react,8,,True,1.0,9,10.2,
alfworld_react,9,,True,1.0,4,4.6,
alfworld_react,10,,True,1.0,6,5.4,
alfworld_react,11,,True,1.0,5,5.0,
alfworld_react,12,,True,1.0,6,6.6,
alfworld_react,13,,True,1.0,4,3.9,
alfworld_react,14,,True,1.0,4,4.0,
alfworld_react,15,,True,1.0,6,6.0,
alfworld_react,16,,True,1.0,5,4.9,
alfworld_react,17,,True,1.0,6,6.2,
alfworld_react,18,,True,1.0,9,9.6,
alfworld_react,19,,True,1.0,5,4.8,
alfworld_react,20,,True,1.0,5,4.8,
alfworld_react,21,,True,1.0,6,6.6,
alfworld_react,22,,True,1.0,6,6.5,
alfworld_react,23,,True,1.0,5,5.8,
alfworld_react,24,,True,1.0,8,7.9,
alfworld_react,25,,True,1.0,5,4.6,
alfworld_react,26,,True,1.0,8,8.1,
alfworld_react,27,,True,1.0,10,10.4,
alfworld_react,28,,True,1.0,12,12.9,
alfworld_react,29,,True,1.0,9,9.9,
alfworld_react,30,,True,1.0,11,11.0,
alfworld_react,31,,True,1.0,2,3.2,
alfworld_react,32,,True,1.0,4,4.5,
alfworld_react,33,,True,1.0,5,5.9,
alfworld_react,34,,True,1.0,4,5.2,
alfworld_react,35,,True,1.0,2,2.0,
alfworld_react,36,,True,1.0,3,3.6,
