experiment,task_id,goal,success,reward,steps,time,error
alfworld_api,1,,True,1.0,4,3.9,
alfworld_api,2,,True,1.0,5,3.5,
alfworld_api,3,,True,1.0,4,3.6,
alfworld_api,4,,True,1.0,5,3.7,
alfworld_api,5,,True,1.0,4,3.1,
alfworld_api,6,,True,1.0,5,4.0,
alfworld_api,7,,True,1.0,5,3.8,
alfworld_api,8,,True,1.0,9,8.5,
alfworld_api,9,,True,1.0,4,3.7,
alfworld_api,10,,True,1.0,6,5.1,
alfworld_api,11,,True,1.0,5,3.6,
alfworld_api,12,,True,1.0,6,5.3,
alfworld_api,13,,True,1.0,4,2.8,
alfworld_api,14,,True,1.0,4,3.0,
alfworld_api,15,,True,1.0,6,4.6,
alfworld_api,16,,True,1.0,5,3.6,
alfworld_api,17,,True,1.0,6,4.4,
alfworld_api,18,,True,1.0,9,7.0,
alfworld_api,19,,True,1.0,5,3.8,
alfworld_api,20,,True,1.0,5,4.3,
alfworld_api,21,,True,1.0,6,4.3,
alfworld_api,22,,True,1.0,6,4.6,
alfworld_api,23,,True,1.0,5,4.0,
alfworld_api,24,,True,1.0,8,6.6,
alfworld_api,25,,True,1.0,5,3.8,
alfworld_api,26,,True,1.0,8,6.3,
alfworld_api,27,,True,1.0,10,8.1,
alfworld_api,28,,True,1.0,12,10.6,
alfworld_api,29,,True,1.0,9,7.2,
alfworld_api,30,,True,1.0,11,8.1,
alfworld_api,31,,True,1.0,5,4.1,
alfworld_api,32,,True,1.0,3,2.7,
alfworld_api,33,,True,1.0,4,3.4,
alfworld_api,34,,True,1.0,4,3.2,
alfworld_api,35,,True,1.0,2,1.9,
alfworld_api,36,,True,1.0,3,2.6,
